{'inicio': 1746581715.3875928, 'fin': 1746581715.3875928, 'maquina': 'esclavo:5001', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.0, 'score': 1, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746581721.9827764, 'fin': 1746581721.9897976, 'maquina': 'esclavo:5002', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.007, 'score': 0, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746581728.5580769, 'fin': 1746581728.5580769, 'maquina': 'esclavo:5003', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.0, 'score': 0, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746581735.1317124, 'fin': 1746581735.13271, 'maquina': 'esclavo:5004', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.001, 'score': 0, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746581713.334391, 'fin': 1746581739.6855552, 'maquina': 'maestro', 'tipo': 'maestro', 'query': 'Historia de la Tierra', 'tiempo_total': 26.3512, 'score': 1, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746582055.196914, 'fin': 1746582055.196914, 'maquina': 'esclavo:5002', 'tipo': 'esclavo', 'query': '', 'tiempo_total': 0.0, 'score': 2, 'edad': 25, 'rango': '16-25'}
{'inicio': 1746582053.1422656, 'fin': 1746582059.7429905, 'maquina': 'maestro', 'tipo': 'maestro', 'query': '', 'tiempo_total': 6.6007, 'score': 2, 'edad': 25, 'rango': '16-25'}
{'inicio': 1746734132.055079, 'fin': 1746734132.0630755, 'maquina': 'esclavo:5001', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.008, 'score': 1, 'edad': 14, 'rango': 'menor de 16'}
{'inicio': 1746734138.643348, 'fin': 1746734138.643348, 'maquina': 'esclavo:5002', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.0, 'score': 0, 'edad': 14, 'rango': 'menor de 16'}
{'inicio': 1746734145.1876597, 'fin': 1746734145.1977465, 'maquina': 'esclavo:5003', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.0101, 'score': 0, 'edad': 14, 'rango': 'menor de 16'}
{'inicio': 1746734151.774461, 'fin': 1746734151.7824638, 'maquina': 'esclavo:5004', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.008, 'score': 0, 'edad': 14, 'rango': 'menor de 16'}
{'inicio': 1746734129.9696016, 'fin': 1746734156.3228729, 'maquina': 'maestro', 'tipo': 'maestro', 'query': 'Historia de la Tierra', 'tiempo_total': 26.3533, 'score': 1, 'edad': 14, 'rango': 'menor de 16'}
{'inicio': 1746734184.3639257, 'fin': 1746734184.3639257, 'maquina': 'esclavo:5002', 'tipo': 'esclavo', 'query': '', 'tiempo_total': 0.0, 'score': 2, 'edad': 24, 'rango': '16-25'}
{'inicio': 1746734182.322758, 'fin': 1746734188.8904548, 'maquina': 'maestro', 'tipo': 'maestro', 'query': '', 'tiempo_total': 6.5677, 'score': 2, 'edad': 24, 'rango': '16-25'}
{'inicio': 1746735535.8611767, 'fin': 1746735535.8611767, 'maquina': 'esclavo:5002', 'tipo': 'esclavo', 'query': '', 'tiempo_total': 0.0, 'score': 2, 'edad': 25, 'rango': '16-25'}
{'inicio': 1746735533.8392394, 'fin': 1746735540.3856966, 'maquina': 'maestro', 'tipo': 'maestro', 'query': '', 'tiempo_total': 6.5465, 'score': 2, 'edad': 25, 'rango': '16-25'}
{'inicio': 1746735921.2947502, 'fin': 1746735921.2947502, 'maquina': 'esclavo:5001', 'tipo': 'esclavo', 'query': '', 'tiempo_total': 0.0, 'score': 2, 'edad': 25, 'rango': '16-25'}
{'inicio': 1746735927.8278365, 'fin': 1746735927.8288326, 'maquina': 'esclavo:5002', 'tipo': 'esclavo', 'query': '', 'tiempo_total': 0.001, 'score': 2, 'edad': 25, 'rango': '16-25'}
{'inicio': 1746735919.2757115, 'fin': 1746735932.3543243, 'maquina': 'maestro', 'tipo': 'maestro', 'query': '', 'tiempo_total': 13.0786, 'score': 4, 'edad': 25, 'rango': '16-25'}
{'inicio': 1746736156.357191, 'fin': 1746736156.357191, 'maquina': 'esclavo:5001', 'tipo': 'esclavo', 'query': '', 'tiempo_total': 0.0, 'score': 2, 'edad': 25, 'rango': '16-25'}
{'inicio': 1746736162.9169831, 'fin': 1746736162.9169831, 'maquina': 'esclavo:5002', 'tipo': 'esclavo', 'query': '', 'tiempo_total': 0.0, 'score': 2, 'edad': 25, 'rango': '16-25'}
{'inicio': 1746736169.4734597, 'fin': 1746736169.4734597, 'maquina': 'esclavo:5003', 'tipo': 'esclavo', 'query': '', 'tiempo_total': 0.0, 'score': 2, 'edad': 25, 'rango': '16-25'}
{'inicio': 1746736176.0165806, 'fin': 1746736176.0165806, 'maquina': 'esclavo:5004', 'tipo': 'esclavo', 'query': '', 'tiempo_total': 0.0, 'score': 2, 'edad': 25, 'rango': '16-25'}
{'inicio': 1746736154.33737, 'fin': 1746736180.545506, 'maquina': 'maestro', 'tipo': 'maestro', 'query': '', 'tiempo_total': 26.2081, 'score': 8, 'edad': 25, 'rango': '16-25'}
{'inicio': 1746738615.0772648, 'fin': 1746738615.0772648, 'maquina': 'esclavo:5001', 'tipo': 'esclavo', 'query': '', 'tiempo_total': 0.0, 'score': 2, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746738621.7075758, 'fin': 1746738621.7075758, 'maquina': 'esclavo:5002', 'tipo': 'esclavo', 'query': '', 'tiempo_total': 0.0, 'score': 2, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746738613.0375645, 'fin': 1746738626.2375264, 'maquina': 'maestro', 'tipo': 'maestro', 'query': '', 'tiempo_total': 13.2, 'score': 4, 'edad': 16, 'rango': '16-25'}
{'inicio': 1746825642.6370866, 'fin': 1746825642.6381173, 'maquina': 'esclavo:5001', 'tipo': 'esclavo', 'query': 'Historia de la Tierra', 'tiempo_total': 0.001, 'score': 14, 'edad': 16, 'rango': '16-25'}
